team1,team2,possession team1,possession team2,possession in contest,goals team1,goals team2,date,hour,category,attempts team1,attempts team2,total attempts,scored team1,scored team2,total goals,Shot Conversion team1,Shot Conversion team2,goal inside the penalty area team1,goal inside the penalty area team2,total goals inside penalty area,goal outside the penalty area team1,goal outside the penalty area team2,total goals outside penalty area,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,total attempts inside penalty area,attempts outside the penalty area team1,attempts outside the penalty area team2,total attempts outside penalty area,yellow cards team1,yellow cards team2,total yellow cards,red cards team1,red cards team2,total red cards,fouls by team1,fouls by team2,total fouls,offsides team1,offsides team2,total offsides,passes team1,passes team2,total passes,passes completed team1,passes completed team2,crosses team1,crosses team2,total crosses,crosses completed team1,crosses completed team2,corners team1,corners team2,total corners,free kicks team1,free kicks team2,total free kicks,penalties scored team1,penalties scored team2,total penalties scored,goal preventions team1,goal preventions team2,own goals team1,own goals team2,total own goals
CAMEROON,BRAZIL,31%,56%,13%,1,0,02-12-2022,20:00:00,Group Stage,7,19,26,1,0,1,14%,0%,1,0,1,0,0,0,1,0,3,6,3,11,5,14,19,2,5,7,5,2,7,1,0,1,14,14,28,0,1,1,295,548,843,239,491,12,28,40,3,8,3,11,14,15,14,29,0,0,0,20,7,0,0,0
NETHERLANDS,UNITED STATES,33%,54%,13%,3,1,03-12-2022,16:00:00,Round of 16,11,18,29,3,1,4,27%,6%,3,1,4,0,0,0,3,1,6,7,4,4,7,11,18,4,7,11,2,0,2,0,0,0,5,10,15,0,3,3,396,567,963,320,487,13,27,40,4,2,4,5,9,8,10,18,0,0,0,18,13,0,0,0
ARGENTINA,AUSTRALIA,53%,35%,12%,2,1,03-12-2022,20:00:00,Round of 16,14,5,19,2,1,3,14%,20%,2,0,2,0,0,0,1,0,5,2,7,2,11,3,14,3,2,5,0,2,2,0,0,0,15,8,23,4,0,4,711,450,1161,635,381,6,15,21,1,2,1,3,4,15,11,26,0,0,0,5,14,1,0,1
FRANCE,POLAND,48%,42%,10%,3,1,04-12-2022,16:00:00,Round of 16,16,11,27,3,1,4,19%,9%,3,1,4,0,0,0,3,0,7,3,7,5,10,8,18,6,3,9,1,2,3,0,0,0,8,10,18,3,1,4,540,466,1006,481,391,27,18,45,4,7,7,1,8,8,11,19,0,1,1,11,16,0,0,0
ENGLAND,SENEGAL,54%,35%,11%,3,0,04-12-2022,20:00:00,Round of 16,8,10,18,3,0,3,38%,0%,3,0,3,0,0,0,3,0,4,2,4,6,7,4,11,1,6,7,0,1,1,0,0,0,12,16,28,0,0,0,597,393,990,523,320,19,13,32,7,3,3,3,6,12,16,28,0,0,0,10,8,0,0,0
JAPAN,CROATIA,35%,51%,14%,1,1,05-12-2022,16:00:00,Round of 16,12,16,28,1,1,2,8%,6%,1,1,2,0,0,0,1,1,4,4,4,8,5,9,14,7,7,14,0,2,2,0,0,0,16,13,29,3,0,3,532,735,1267,414,624,28,35,63,6,9,8,5,13,16,16,32,0,0,0,18,11,0,0,0
BRAZIL,KOREA REPUBLIC,47%,44%,9%,4,1,05-12-2022,20:00:00,Round of 16,18,10,28,4,1,5,22%,10%,4,0,4,0,1,1,3,0,9,6,8,2,14,6,20,4,4,8,0,1,1,0,0,0,13,8,21,0,5,5,616,548,1164,556,486,18,14,32,4,1,5,4,9,16,8,24,1,0,1,10,18,0,0,0
MOROCCO,SPAIN,22%,68%,10%,0,0,06-12-2022,16:00:00,Round of 16,6,13,19,0,0,0,0%,0%,0,0,0,0,0,0,0,0,3,1,3,6,3,9,12,3,4,7,1,1,2,0,0,0,14,15,29,5,4,9,323,1041,1364,229,967,10,27,37,4,4,0,8,8,18,20,38,0,0,0,14,6,0,0,0
PORTUGAL,SWITZERLAND,43%,48%,9%,6,1,06-12-2022,20:00:00,Round of 16,14,10,24,6,1,7,43%,10%,6,1,7,0,0,0,5,0,9,1,2,7,9,5,14,5,5,10,0,2,2,0,0,0,10,12,22,3,3,6,461,512,973,392,436,14,15,29,6,1,6,6,12,13,15,28,0,0,0,10,15,0,0,0
CROATIA,BRAZIL,45%,45%,10%,1,1,09-12-2022,16:00:00,Quarter-final,9,20,29,1,1,2,11%,5%,1,1,2,0,0,0,1,1,1,11,4,4,5,12,17,4,8,12,2,3,5,0,0,0,24,22,46,3,3,6,715,695,1410,632,625,22,25,47,5,6,3,7,10,27,25,52,0,0,0,21,9,0,0,0
NETHERLANDS,ARGENTINA,45%,44%,11%,2,2,09-12-2022,20:00:00,Quarter-final,5,15,20,2,2,4,40%,13%,2,2,4,0,0,0,2,1,2,6,2,8,3,5,8,2,10,12,8,8,16,1,0,1,18,30,48,1,2,3,651,603,1254,557,511,22,16,38,4,4,2,8,10,20,30,50,0,1,1,15,5,0,0,0
MOROCCO,PORTUGAL,22%,65%,13%,1,0,10-12-2022,16:00:00,Quarter-final,9,11,20,1,0,1,11%,0%,1,0,1,0,0,0,1,0,3,3,6,6,5,7,12,4,4,8,3,1,4,1,0,1,9,15,24,2,2,4,229,678,907,171,592,8,33,41,3,7,3,9,12,11,17,28,0,0,0,11,10,0,0,0
ENGLAND,FRANCE,54%,36%,10%,1,2,10-12-2022,20:00:00,Quarter-final,14,9,23,1,2,3,7%,22%,1,1,2,0,1,1,0,2,6,5,4,3,6,6,12,8,3,11,1,3,4,0,0,0,14,10,24,1,2,3,508,369,877,453,310,22,13,35,5,6,5,2,7,14,11,25,1,0,1,9,15,0,0,0
ARGENTINA,CROATIA,34%,54%,12%,3,0,13-12-2022,20:00:00,Semi-final,10,12,22,3,0,3,30%,0%,3,0,3,0,0,0,1,0,7,3,2,7,7,6,13,3,6,9,2,2,4,0,0,0,8,15,23,1,0,1,408,624,1032,344,551,8,20,28,2,4,2,4,6,6,16,22,1,0,1,12,10,0,0,0
FRANCE,MOROCCO,34%,55%,11%,2,0,14-12-2022,20:00:00,Semi-final,14,13,27,2,0,2,14%,0%,2,0,2,0,0,0,0,0,2,1,8,6,12,8,20,2,5,7,0,1,1,0,0,0,11,11,22,4,3,7,358,583,941,307,518,5,22,27,2,1,2,3,5,13,15,28,0,0,0,13,14,0,0,0
CROATIA,MOROCCO,45%,45%,10%,2,1,17-12-2022,16:00:00,Third-Place ,14,7,21,2,1,3,14%,14%,2,1,3,0,0,0,2,0,4,2,8,5,7,5,12,7,2,9,0,2,2,0,0,0,11,13,24,2,2,4,491,494,985,430,428,21,20,41,3,5,6,3,9,13,15,28,0,0,0,7,14,0,0,0
ARGENTINA,FRANCE,46%,40%,14%,3,3,18-12-2022,16:00:00,Final,21,10,31,3,3,6,14%,30%,3,3,6,0,0,0,1,1,9,5,9,3,10,7,17,11,3,14,4,3,7,0,0,0,19,26,45,4,4,8,648,516,1164,544,419,20,24,44,4,3,6,5,11,22,28,50,1,2,3,11,21,0,0,0
